node,community,weighted_degree,betweenness
user_2537,1,63.0,0.0006191158258549398
user_27250,0,19.0,1.8789925114786486e-05
user_34282,1,11.0,1.2545352342991468e-06
user_8677,1,6.0,0.0
user_12546,2,59.0,0.00011885501299283395
user_13967,0,219.0,0.0012411898849374375
user_15827,3,59.0,0.0001792467641681052
user_17630,5,245.0,0.0035816727487753804
user_18823,4,125.0,0.002205602479503486
user_24634,1,5.0,0.0
user_3547,1,22.0,0.00031885977244515683
user_7643,1,7.0,0.0
user_17558,2,38.0,0.0002727587700640968
user_18472,1,84.0,0.0006050318296518256
user_24216,1,37.0,0.0005627841192515298
user_26800,7,30.0,0.00025503542021232563
user_30590,3,75.0,0.0005971634115104039
user_31056,1,5.0,0.0
user_34203,1,16.0,4.976891235589415e-06
user_3538,0,179.0,0.001353421943957499
user_10852,4,92.0,0.00017789003038992391
user_2137,4,270.0,0.0025301232526428446
user_11547,6,28.0,1.331572332669792e-06
user_19584,2,33.0,0.000472971705267001
user_24388,1,78.0,0.0010828147245587033
user_31169,1,12.0,0.0
user_33386,3,121.0,0.0005916804802780527
user_5078,1,11.0,0.0
user_5203,1,3.0,0.0
user_5661,6,311.0,0.0066157308351999355
user_10916,1,7.0,7.869589657110737e-06
user_27887,1,63.0,0.000661415664405647
user_12819,4,15.0,2.3222567892474855e-05
user_23266,1,10.0,1.6502996147404e-07
user_27732,1,3.0,0.0
user_32517,3,128.0,0.0006150527376849219
user_32542,1,13.0,1.392819037603428e-05
user_7563,4,121.0,0.00035166460784617694
user_17061,3,82.0,0.0007695688345712307
user_17210,7,179.0,0.002514214146487572
user_21862,2,41.0,0.00010442531527806916
user_3499,5,22.0,3.70910535597845e-07
user_8700,1,11.0,0.0
user_10994,1,31.0,0.0005149843387698648
user_6963,2,242.0,0.0024250473542122763
user_14279,3,452.0,0.0076665405248613535
user_14294,1,12.0,2.3895247995609854e-05
user_10697,5,33.0,2.8972570886282027e-05
user_17264,5,34.0,3.514692161867945e-05
user_1320,1,38.0,0.0001663692493688149
user_15156,4,79.0,0.000451204160548301
user_1698,1,10.0,3.312701913039181e-05
user_19193,4,72.0,0.0006072373812195132
user_21466,5,79.0,0.0004234606594403656
user_22609,1,45.0,0.00012412600229339799
user_31174,2,59.0,0.0002377600211056222
user_4633,1,10.0,0.0
user_1234,1,22.0,0.00016893042593524885
user_14478,4,90.0,0.00022712039941560208
user_19337,1,8.0,0.0
user_19517,6,63.0,0.000653950191805516
user_22007,0,23.0,0.00012948973875582867
user_26589,3,5.0,0.0020156906309327593
user_26902,4,43.0,0.00014098903452357348
user_27447,1,8.0,0.0
user_27901,1,6.0,2.0985572418961965e-05
user_3289,1,17.0,0.0001568296051358957
user_9722,1,34.0,3.813014035313081e-05
user_11865,1,7.0,0.0
user_1428,4,12.0,2.5597234086867565e-05
user_20472,1,18.0,0.0007252111379350214
user_2405,7,20.0,7.927689424848916e-05
